"","Industry","n"
"1","Bank",7
"2","Building Decoration",25
"3","Building materials",6
"4","Car",14
"5","Car e-commerce",2
"6","Chemical industry",12
"7","Coal",2
"8","Commercial trade",3
"9","Communication",7
"10","Defense military",3
"11","Delivery logistics",12
"12","E-commerce",2
"13","Education",12
"14","Electrical Equipment",10
"15","Electronics",18
"16","Equipment",1
"17","Finance",21
"18","Food and drink",9
"19","Home appliance",6
"20","Human resources service",1
"21","Information Technology",32
"22","Leisure service",12
"23","Light manufacturing",15
"24","Logistics",1
"25","mechanical",10
"26","Media",5
"27","Medical biology",23
"28","Medical/ information technology",1
"29","Non-bank finance",2
"30","Non-ferrous metal",3
"31","Real Estate",16
"32","Securities broker",7
"33","Steel",2
"34","Textile",12
"35","Utilities",11
